"OBJECTID","GIS_DB_ID","Route","Direction","Stop_ID","Sequence","Stop_Abbre","Stop_Name","Sign_Up","Mode","School_Rou","Source","Weekday_Bo","Weekday_Le","Weekday_To","Saturday_B","Saturday_L","Saturday_T","Sunday_Boa","Sunday_Lea","Sunday_Tot","Latitude","Longitude","GlobalID","year"
7426,"5221750N","52","N",21750,36,"52NMASNO","52nd St & Master St - FS","City","Bus","No","APC Fall 2016",45,180,225,34,91,125,20,65,85,39.974401,-75.226301,"{4A0A588F-BE2C-4A00-9F0B-F71C2D147909}","2016"
7427,"5221751N","52","N",21751,37,"52NWARNO","52nd St & Warren St - FS","City","Bus","No","APC Fall 2016",69,346,415,22,146,168,9,108,117,39.976455,-75.226673,"{2EA0068A-60C9-4AFA-9FBD-51C1F4506363}","2016"
7428,"5221752N","52","N",21752,38,"52NLANNO","52nd St & Lancaster Av - FS","City","Bus","No","APC Fall 2016",106,211,317,53,126,179,42,89,131,39.977632,-75.226422,"{94F26A2C-CB5B-4D39-8C8C-ACFD83DA5F0F}","2016"
7429,"5231039N","52","N",31039,39,"PARWESWE","Parkwest Town Center","City","Bus","No","APC Fall 2016",98,315,413,56,241,297,41,141,182,39.978715,-75.222733,"{BD951890-7E82-4402-B683-A5F39064A78B}","2016"
7430,"5225521N","52","N",25521,40,"52NJEFNE","52nd St & Jefferson St - FS","City","Bus","No","APC Fall 2016",8,185,193,0,0,0,0,0,0,39.979558,-75.2252,"{0A40A607-1A70-447A-AC92-C829C9E6BEAB}","2016"
7431,"5221721N","52","N",21721,41,"52NCOLNE","52nd St & Columbia Av","City","Bus","No","APC Fall 2016",2,16,18,0,0,0,0,0,0,39.980378,-75.224689,"{43DDC332-6EF9-4BA7-87D0-B43F2F554CA5}","2016"
7432,"5221722N","52","N",21722,42,"52NPARNE","52nd St & Parkside Av","City","Bus","No","APC Fall 2016",0,11,11,0,0,0,0,0,0,39.98143,-75.224037,"{1843BC29-8E6B-4BF5-8F65-F5F446442623}","2016"
7433,"5221723N","52","N",21723,43,"PARPAXSE","Parkside Av & Paxon St","City","Bus","No","APC Fall 2016",0,12,12,0,0,0,0,0,0,39.981143,-75.22262,"{F2D29156-23E8-4D6B-926A-3CE749BD6A79}","2016"
7434,"5221724N","52","N",21724,44,"PAR51SSE","Parkside Av & 51st St","City","Bus","No","APC Fall 2016",1,168,169,0,0,0,0,0,0,39.980721,-75.221581,"{5328D639-18D0-4E6D-87CE-5BF5B326B8E2}","2016"
7435,"5221725N","52","N",21725,45,"PAR50TSE","Parkside Av & 50th St","City","Bus","No","APC Fall 2016",1,45,46,0,0,0,0,0,0,39.979923,-75.219422,"{B17E9CF0-C5E1-4652-806F-5183D166667E}","2016"
7436,"5230771N","52","N",30771,46,"PARLOOSO","50th & Parkside Loop","City","Bus","No","APC Fall 2016",0,62,62,0,0,0,0,0,0,39.978201,-75.219687,"{9572AF64-B980-4877-8BDB-DCCF0F12E543}","2016"
7437,"5221758N","52","N",21758,47,"JEF52NNW","Jefferson St & 52nd St - FS","City","Bus","No","APC Fall 2016",152,354,506,86,273,359,66,177,243,39.979577,-75.225554,"{3C9023FB-6E04-498B-82A3-1BF1D83B38EE}","2016"
7438,"5221759N","52","N",21759,48,"JEFLINNW","Jefferson St & Lindenwood St","City","Bus","No","APC Fall 2016",16,59,75,7,47,54,4,37,41,39.980123,-75.227041,"{B691976F-6FD6-4BCA-AFF6-5858E4713A45}","2016"
7439,"5222290N","52","N",22290,49,"JEF53RNW","Jefferson St & 53rd St","City","Bus","No","APC Fall 2016",30,62,92,14,27,41,19,27,46,39.980455,-75.227997,"{B1E75F82-3158-4A5A-8FB1-48BDCA3755D9}","2016"
7440,"5221760N","52","N",21760,50,"54TOXFNW","54th St & Oxford St","City","Bus","No","APC Fall 2016",3,26,29,1,12,13,2,5,7,39.981467,-75.229967,"{34A69023-FD06-4BD7-80C9-7984BBC6C771}","2016"
7441,"5221761N","52","N",21761,51,"54TCOLNW","54th St & Columbia Av","City","Bus","No","APC Fall 2016",10,85,95,7,39,46,5,37,42,39.982414,-75.230602,"{A063B742-419D-4AA1-8314-B6A828B7F2A9}","2016"
7442,"5221762N","52","N",21762,52,"54TMONNW","54th St & Montgomery Av","City","Bus","No","APC Fall 2016",35,254,289,19,150,169,18,140,158,39.984003,-75.231165,"{570BC978-E292-4AFA-9AA8-1FB6DA4C823B}","2016"
7443,"5221763N","52","N",21763,53,"54TBERNW","54th St & Berks St","City","Bus","No","APC Fall 2016",60,387,447,27,217,244,17,158,175,39.985789,-75.231774,"{B5BD7D50-234A-4CCA-BBDE-E9C1ABCF8AD9}","2016"
7444,"5221764N","52","N",21764,54,"54TLEBNW","54th St & Lebanon Av","City","Bus","No","APC Fall 2016",23,160,183,12,86,98,7,91,98,39.987325,-75.232314,"{7BA35145-8927-4CE3-9324-3963BBD64683}","2016"
7445,"5221765N","52","N",21765,55,"54TGAINW","54th St & Gainor Rd","City","Bus","No","APC Fall 2016",16,122,138,7,58,65,8,64,72,39.988852,-75.232829,"{60E75D23-A154-4FB3-B42B-CA74B3833911}","2016"
7446,"5221766N","52","N",21766,56,"54TWODNW","54th St & Woodcrest Av - FS","City","Bus","No","APC Fall 2016",14,165,179,8,112,120,4,91,95,39.990826,-75.233462,"{DF1C2E34-3BBE-4234-8811-D90A64E968E8}","2016"
7447,"5231610N","52","N",31610,57,"CARCITNO","Cardinal Av & City Av","City","Bus","No","APC Fall 2016",8,108,116,4,48,52,2,38,40,39.994024,-75.241441,"{109A68BF-E6A6-4A0F-BE14-8F0D327F18C7}","2016"
7448,"5220591N","52","N",20591,58,"CIT54HNE","City Av & 54th St","City","Bus","No","APC Fall 2016",31,544,575,33,378,411,28,273,301,39.996969,-75.235383,"{5F7470CD-A077-43A2-A7BE-5A6F6B93A487}","2016"
7449,"5231630N","52","N",31630,59,"54TWOONO","54th St & Woodbine Av - FS","City","Bus","No","APC Fall 2016",0,1,1,0,0,0,0,0,0,39.992343,-75.233647,"{6CC5AFE8-DF31-49DE-BEE7-427F296F3B9F}","2016"
7450,"5221768N","52","N",21768,60,"54TOVENO","54th St & Overbrook Av","City","Bus","No","APC Fall 2016",0,5,5,0,0,0,0,0,0,39.994628,-75.233924,"{E307E9FE-6D02-4F10-82D6-C9FA0F780F97}","2016"
7451,"5220589N","52","N",20589,61,"54TCITNO","54th St & City Av","City","Bus","No","APC Fall 2016",2,54,56,0,0,0,0,0,0,39.99696,-75.235135,"{BCC74BCE-B774-4E9A-B64B-69CC962944D4}","2016"
7452,"5230138N","52","N",30138,62,"54TCITSO","54th St & City Av - MBFS","City","Bus","No","APC Fall 2016",0,165,165,0,143,143,0,106,106,39.995986,-75.23457,"{F2B51FBA-2799-4918-BE16-7E982265404E}","2016"
