"OBJECTID","GIS_DB_ID","Sign_Up","Route","Direction","Sequence","Stop_ID","Stop_Abbre","Stop_Name","Mode","Time_Point","Time_Poi_1","Time_Poi_2","School","Source","Comments","Weekday_Bo","Weekday_Le","Saturday_B","Saturday_L","Sunday_Boa","Sunday_Lea","Latitude","Longitude","GlobalID","year"
16525,"5221656S","City","52","Southbound",5,21656,"HOLCONNE","Hollow Rd & Conshohocken State - FS","Bus","No",0,NA,"No","APC (InfoDev)",NA,0,0,0,0,0,0,40.031165,-75.262824,"{857CCD67-C854-40B5-86D9-A2507D8AD9EE}","2019"
4159,"52780N","City","52","Northbound",30,780,"52NHAVNO","52nd St & Haverford Av - FS","Bus","Yes",335,"52HA","No","APC (InfoDev)",NA,212,318,107,163,88,117,39.965197,-75.224591,"{8894DFEE-2353-44E7-8757-A633F030DE3E}","2019"
21636,"5221713S","City","52","Southbound",84,21713,"54TWARSE","54th St & Warrington St","Bus","No",0,NA,"No","APC (InfoDev)",NA,58,180,14,67,9,62,39.941887,-75.225661,"{C1E2C769-AC91-47E9-AB2F-AB5925371EE8}","2019"
14918,"5229567N","City","52","Northbound",67,29567,"BALHIGNO","Bala Av & Highland Av","Bus","No",0,NA,"No","APC (InfoDev)",NA,0,1,0,0,0,0,40.004996,-75.232052,"{DB65641E-1025-42FD-BE53-B01C24986437}","2019"
5016,"5221701S","City","52","Southbound",71,21701,"52NCHESO","52nd St & Chestnut St","Bus","No",0,NA,"No","APC (InfoDev)",NA,347,320,170,155,104,122,39.958567,-75.225283,"{37184F84-7DF9-466C-B482-B382A23A96A6}","2019"
2320,"5221698S","City","52","Southbound",66,21698,"52NPARSO","52nd St & Parrish St - FS","Bus","No",0,NA,"No","APC (InfoDev)",NA,139,51,67,37,51,28,39.966411,-75.224954,"{AEB4F160-6C89-406E-86D4-B67E21FA8278}","2019"
21859,"523574N","City","52","Northbound",26,3574,"52NCHENO","52nd St & Chestnut St","Bus","No",0,NA,"No","APC (InfoDev)",NA,252,249,148,134,86,75,39.958361,-75.225154,"{059F8D7F-B74B-4054-91DC-B6B52FB6090D}","2019"
6971,"5221730N","City","52","Northbound",8,21730,"54TKISNW","54th St & Kingsessing Av - FS","Bus","No",0,NA,"No","APC (InfoDev)",NA,96,10,60,14,48,7,39.938739,-75.221727,"{AAD85791-D9B4-45DA-825A-B9015E5BE422}","2019"
27,"5222290N","City","52","Northbound",47,22290,"JEF53RNW","Jefferson St & 53rd St","Bus","No",0,NA,"No","APC (InfoDev)",NA,26,66,11,39,7,27,39.980455,-75.227997,"{46F5B4D4-E4C4-422F-B836-B94A8D18512B}","2019"
5949,"5221747N","City","52","Northbound",32,21747,"52NWESNO","52nd St & Westminster Av - FS","Bus","No",0,NA,"No","APC (InfoDev)",NA,69,185,36,118,28,75,39.968286,-75.225078,"{AB273693-C4C4-451D-B80E-B9F23733A791}","2019"
6676,"5221727N","City","52","Northbound",6,21727,"54TWOONW","54th St & Woodland Av - FS","Bus","No",0,NA,"No","APC (InfoDev)",NA,317,28,197,16,140,23,39.93653,-75.219112,"{0AB8873C-390D-4AD3-B347-BADE9CE9EE66}","2019"
1452,"5229573S","City","52","Southbound",13,29573,"OAKOAKWE","Oakwood Dr & Oakwood Ter","Bus","No",0,NA,"No","APC (InfoDev)",NA,0,0,0,0,0,0,40.038994,-75.257508,"{DDCCA8AD-BFA9-454B-90AF-BBC39BB83CF8}","2019"
13087,"5221691S","City","52","Southbound",51,21691,"JEFLINSE","Jefferson St & Lindenwood St","Bus","No",0,NA,"No","APC (InfoDev)",NA,24,11,15,6,12,5,39.980097,-75.227301,"{C24937D6-BBD0-4419-B35F-BDB5F78D9DC9}","2019"
18603,"5220589N","City","52","Northbound",59,20589,"54TCITNO","54th St & City Av","Bus","Yes",422,"54ST","No","APC (InfoDev)",NA,1,13,0,0,0,0,39.99696,-75.235135,"{ABCF04A9-B0F8-4EE9-B560-BFD1D3523909}","2019"
