"OBJECTID","GIS_DB_ID","Sign_Up","Route","Direction","Sequence","Stop_ID","Stop_Abbre","Stop_Name","Mode","Time_Point","Time_Poi_1","Time_Poi_2","School","Source","Comments","Weekday_Bo","Weekday_Le","Weekday_To","Saturday_B","Saturday_L","Saturday_T","Sunday_Boa","Sunday_Lea","Sunday_Tot","Latitude","Longitude","GlobalID","year"
12020,"5221687S","City","52","Southbound",45,21687,"54TLEBSO","54th St & Lebanon Av","Bus","No",0,NA,"No","APC (UTA)",NA,92,42,135,61,18,79,46,10,56,39.987468,-75.232514,"{47A928B7-4322-4C84-BFAC-E25CF6BB0AE1}","2018"
12021,"5221688S","City","52","Southbound",46,21688,"54TBERSO","54th St & Berks St","Bus","No",0,NA,"No","APC (UTA)",NA,267,69,336,159,33,192,93,28,121,39.985941,-75.231975,"{BA948249-5D67-42E4-961F-75CE0360F59C}","2018"
12022,"5221689S","City","52","Southbound",48,21689,"54TUPLSO","54th St & Upland Way","Bus","No",0,NA,"No","APC (UTA)",NA,59,14,72,45,8,53,28,6,34,39.982575,-75.230826,"{6CD8944F-1E3A-4CB9-9EC0-C836539EEB38}","2018"
12023,"5221690S","City","52","Southbound",49,21690,"54TOXFSO","54th St & Oxford St","Bus","No",0,NA,"No","APC (UTA)",NA,21,4,25,12,3,15,15,1,15,39.981771,-75.230321,"{1B238D75-7690-4EEA-AE4E-2C6663C55B6F}","2018"
12024,"5221691S","City","52","Southbound",51,21691,"JEFLINSE","Jefferson St & Lindenwood St","Bus","No",0,NA,"No","APC (UTA)",NA,41,13,54,23,4,27,15,2,17,39.980097,-75.227301,"{7FBDA290-6AE6-4CC9-BC45-F7AA2E6D0383}","2018"
12025,"5221692S","City","52","Southbound",59,21692,"52NLANSO","52nd St & Lancaster Av - FS","Bus","Yes",2331,"52LA","No","APC (UTA)",NA,405,138,543,208,65,272,127,35,162,39.977017,-75.22692,"{894D2286-9081-45CF-B0AC-DA4D67A97C4D}","2018"
12026,"5221693S","City","52","Southbound",60,21693,"52NMEDSO","52nd St & Media St","Bus","No",0,NA,"No","APC (UTA)",NA,135,33,168,38,4,43,28,10,38,39.975812,-75.226746,"{41B3C505-6984-4901-A526-B2339E3BF333}","2018"
12027,"5221694S","City","52","Southbound",61,21694,"52NMASSO","52nd St & Master St - FS","Bus","No",0,NA,"No","APC (UTA)",NA,188,50,238,118,32,149,95,21,116,39.974107,-75.22642,"{61D6BF39-B9BC-4D8E-B5E6-3BD99FEDACDF}","2018"
12028,"5221695S","City","52","Southbound",62,21695,"52NTHOSO","52nd St & Thompson St - FS","Bus","No",0,NA,"No","APC (UTA)",NA,130,45,175,80,26,106,55,14,69,39.97275,-75.226176,"{F3549597-F7F1-423E-9093-56A54CB462EC}","2018"
12029,"5221696S","City","52","Southbound",64,21696,"52NWYASO","52nd St & Wyalusing Av - FS","Bus","No",0,NA,"No","APC (UTA)",NA,130,36,166,73,30,103,53,15,68,39.969313,-75.22543,"{876D518B-BF4D-460C-9896-A6B23CB360A9}","2018"
12030,"5221697S","City","52","Southbound",65,21697,"52NWESSO","52nd St & Westminster Av - FS","Bus","No",0,NA,"No","APC (UTA)",NA,186,63,249,106,36,142,72,31,103,39.967929,-75.225186,"{9C2F452E-FE8F-4DDC-BAA3-93D7A7E9AD31}","2018"
12031,"5221698S","City","52","Southbound",66,21698,"52NPARSO","52nd St & Parrish St - FS","Bus","No",0,NA,"No","APC (UTA)",NA,123,51,174,62,30,92,49,20,68,39.966411,-75.224954,"{96F32F0D-B0EF-4F52-95B1-F9A11CA36EA3}","2018"
12032,"5221699S","City","52","Southbound",68,21699,"52NRACSO","52nd St & Race St","Bus","No",0,NA,"No","APC (UTA)",NA,90,41,131,38,31,68,39,22,61,39.963153,-75.224325,"{D8441323-EE26-4172-9BE5-0A9AD9524375}","2018"
12033,"5221700S","City","52","Southbound",69,21700,"52NARCSO","52nd St & Arch St - FS","Bus","No",0,NA,"No","APC (UTA)",NA,23,51,74,15,56,71,14,34,48,39.961404,-75.224696,"{7C3DF1C2-E5A9-4B00-96B5-5C83AB179C58}","2018"
12034,"5221701S","City","52","Southbound",71,21701,"52NCHESO","52nd St & Chestnut St","Bus","No",0,NA,"No","APC (UTA)",NA,284,165,450,173,97,271,90,57,148,39.958567,-75.225283,"{F8E86206-4727-4C92-BB87-00356B12F526}","2018"
